segment,customer_count,avg_recency,avg_frequency,avg_monetary,total_revenue
Loyal Customers,25102,2.279101266831328,18.17237670305155,10658.567209385707,267551354.09
At Risk,13852,12.056309558186543,17.865939936471268,15071.044234767543,208764104.74
Can't Lose Them,9560,14.832008368200837,12.271443514644352,11756.817141213389,112395171.87
Potential Loyalist,10758,3.6346904629113217,12.286205614426473,7463.9426222346165,80297094.73
Lost,18696,15.898106546854942,11.5785729567822,4274.894183782627,79923421.66
New Customers,10365,0.7625663289917993,12.471394114809454,6426.510383019778,66610780.12
Champions,3154,0.4590995561192137,20.577679137603045,19001.20633164236,59929804.77
Needs Attention,7272,11.996837183718371,18.018839383938396,4480.382693894389,32581342.95
